ID,Name,Description,Ubertip
I03R,定制霰弹枪,提供角色基础的属性。|n|cffffff00击杀数量每60可以兑换一次改造机会。|r|n,提供角色基础的属性。|n|cffffff00击杀数量每60可以兑换一次改造机会。|r|n
I03S,Mavic-A999,|cff999999无人科技生产的单兵火力支援兵器，能够自动护卫使用者，型号众多能够适合不同需求的用户。|r,|cff999999无人科技生产的单兵火力支援兵器，能够自动护卫使用者，型号众多能够适合不同需求的用户。|r
I03T,Mavic-A1,|cff999999无人科技生产的单兵火力支援兵器，能够自动护卫使用者，型号众多能够适合不同需求的用户。|r,|cff999999无人科技生产的单兵火力支援兵器，能够自动护卫使用者，型号众多能够适合不同需求的用户。|r
I03U,定制UMP45,提供角色基础的属性。|n|cffffff00击杀数量每60可以兑换一次改造机会。|r|n,提供角色基础的属性。|n|cffffff00击杀数量每60可以兑换一次改造机会。|r|n
I03V,定制IWS2000,提供角色基础的属性。|n|cffffff00击杀数量每60可以兑换一次改造机会。|r|n,提供角色基础的属性。|n|cffffff00击杀数量每60可以兑换一次改造机会。|r|n
I03W,Spark-J10,|cff999999无人科技生产的单兵火力支援兵器，能够自动护卫使用者，型号众多能够适合不同需求的用户。|r,|cff999999无人科技生产的单兵火力支援兵器，能够自动护卫使用者，型号众多能够适合不同需求的用户。|r
I03X,Spark-Z12,|cff999999无人科技生产的单兵火力支援兵器，能够自动护卫使用者，型号众多能够适合不同需求的用户。|r,|cff999999无人科技生产的单兵火力支援兵器，能够自动护卫使用者，型号众多能够适合不同需求的用户。|r
I03Y,定制马格南,提供角色基础的属性。|n|cffffff00击杀数量每60可以兑换一次改造机会。|r|n,提供角色基础的属性。|n|cffffff00击杀数量每60可以兑换一次改造机会。|r|n
I03Z,Mavic-A238,|cff999999无人科技生产的单兵火力支援兵器，能够自动护卫使用者，型号众多能够适合不同需求的用户。|r,|cff999999无人科技生产的单兵火力支援兵器，能够自动护卫使用者，型号众多能够适合不同需求的用户。|r
I040,INSPIRE-A10,|cff999999无人科技生产的单兵火力支援兵器，能够自动护卫使用者，型号众多能够适合不同需求的用户。|r,|cff999999无人科技生产的单兵火力支援兵器，能够自动护卫使用者，型号众多能够适合不同需求的用户。|r
I041,Spark-S99,|cff999999无人科技生产的单兵火力支援兵器，能够自动护卫使用者，型号众多能够适合不同需求的用户。|r,|cff999999无人科技生产的单兵火力支援兵器，能够自动护卫使用者，型号众多能够适合不同需求的用户。|r
I042,Spark-J20,|cff999999无人科技生产的单兵火力支援兵器，能够自动护卫使用者，型号众多能够适合不同需求的用户。|r,|cff999999无人科技生产的单兵火力支援兵器，能够自动护卫使用者，型号众多能够适合不同需求的用户。|r
I043,Spark-Z20,|cff999999无人科技生产的单兵火力支援兵器，能够自动护卫使用者，型号众多能够适合不同需求的用户。|r,|cff999999无人科技生产的单兵火力支援兵器，能够自动护卫使用者，型号众多能够适合不同需求的用户。|r
